F_RING,YEAR,EXP.INC,GROUP,CS,CS_sc,brood_id,egg_index,HATCHED
DC54778,2023,Control,CONCON,7,0.6811298321813386,DC54778_2023_FA11B_44,2,1
DC54778,2023,Control,CONCON,7,0.6811298321813386,DC54778_2023_FA11B_44,3,1
DC54778,2023,Control,CONCON,7,0.6811298321813386,DC54778_2023_FA11B_44,4,1
DC54778,2023,Control,CONCON,7,0.6811298321813386,DC54778_2023_FA11B_44,5,1
DC54778,2023,Control,CONCON,7,0.6811298321813386,DC54778_2023_FA11B_44,6,1
DC54778,2023,Control,CONCON,7,0.6811298321813386,DC54778_2023_FA11B_44,7,0
DD85019,2023,Control,CONCON,6,-0.9141479326644292,DD85019_2023_FA16A_49,1,1
DD85019,2023,Control,CONCON,6,-0.9141479326644292,DD85019_2023_FA16A_49,2,1
DD85019,2023,Control,CONCON,6,-0.9141479326644292,DD85019_2023_FA16A_49,3,1
DD85019,2023,Control,CONCON,6,-0.9141479326644292,DD85019_2023_FA16A_49,4,1
DD85019,2023,Control,CONCON,6,-0.9141479326644292,DD85019_2023_FA16A_49,5,0
DD85019,2023,Control,CONCON,6,-0.9141479326644292,DD85019_2023_FA16A_49,6,0
DC57156,2023,Control,CONCON,6,-0.9141479326644292,DC57156_2023_FA18A_50,1,1
DC57156,2023,Control,CONCON,6,-0.9141479326644292,DC57156_2023_FA18A_50,2,1
DC57156,2023,Control,CONCON,6,-0.9141479326644292,DC57156_2023_FA18A_50,3,1
DC57156,2023,Control,CONCON,6,-0.9141479326644292,DC57156_2023_FA18A_50,4,1
DC57156,2023,Control,CONCON,6,-0.9141479326644292,DC57156_2023_FA18A_50,5,1
DC57156,2023,Control,CONCON,6,-0.9141479326644292,DC57156_2023_FA18A_50,6,1
DD85025,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85025_2023_FA20A_50,1,1
DD85025,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85025_2023_FA20A_50,2,1
DD85025,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85025_2023_FA20A_50,3,1
DD85025,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85025_2023_FA20A_50,4,1
DD85025,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85025_2023_FA20A_50,5,1
DD85025,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85025_2023_FA20A_50,6,1
DC54928,2023,Heated,EXPCON,7,0.6811298321813386,DC54928_2023_FA26A_49,1,1
DC54928,2023,Heated,EXPCON,7,0.6811298321813386,DC54928_2023_FA26A_49,2,1
DC54928,2023,Heated,EXPCON,7,0.6811298321813386,DC54928_2023_FA26A_49,3,0
DC54928,2023,Heated,EXPCON,7,0.6811298321813386,DC54928_2023_FA26A_49,4,0
DC54928,2023,Heated,EXPCON,7,0.6811298321813386,DC54928_2023_FA26A_49,5,0
DC54928,2023,Heated,EXPCON,7,0.6811298321813386,DC54928_2023_FA26A_49,6,0
DC54928,2023,Heated,EXPCON,7,0.6811298321813386,DC54928_2023_FA26A_49,7,0
DA78250,2023,Control,CONEXP,6,-0.9141479326644292,DA78250_2023_FA27A_49,1,1
DA78250,2023,Control,CONEXP,6,-0.9141479326644292,DA78250_2023_FA27A_49,2,1
DA78250,2023,Control,CONEXP,6,-0.9141479326644292,DA78250_2023_FA27A_49,3,1
DA78250,2023,Control,CONEXP,6,-0.9141479326644292,DA78250_2023_FA27A_49,4,1
DA78250,2023,Control,CONEXP,6,-0.9141479326644292,DA78250_2023_FA27A_49,5,1
DA78250,2023,Control,CONEXP,6,-0.9141479326644292,DA78250_2023_FA27A_49,6,0
DD85028,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85028_2023_FA32A_51,1,1
DD85028,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85028_2023_FA32A_51,2,1
DD85028,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85028_2023_FA32A_51,3,1
DD85028,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85028_2023_FA32A_51,4,1
DD85028,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85028_2023_FA32A_51,5,1
DD85028,2023,Heated,EXPEXP,6,-0.9141479326644292,DD85028_2023_FA32A_51,6,0
DD82920,2023,Heated,EXPEXP,7,0.6811298321813386,DD82920_2023_FA3A_51,1,1
DD82920,2023,Heated,EXPEXP,7,0.6811298321813386,DD82920_2023_FA3A_51,2,1
DD82920,2023,Heated,EXPEXP,7,0.6811298321813386,DD82920_2023_FA3A_51,3,1
DD82920,2023,Heated,EXPEXP,7,0.6811298321813386,DD82920_2023_FA3A_51,4,1
DD82920,2023,Heated,EXPEXP,7,0.6811298321813386,DD82920_2023_FA3A_51,5,1
DD82920,2023,Heated,EXPEXP,7,0.6811298321813386,DD82920_2023_FA3A_51,6,1
DD82920,2023,Heated,EXPEXP,7,0.6811298321813386,DD82920_2023_FA3A_51,7,1
DD85032,2023,Heated,EXPCON,7,0.6811298321813386,DD85032_2023_FA47A_55,1,1
DD85032,2023,Heated,EXPCON,7,0.6811298321813386,DD85032_2023_FA47A_55,2,1
DD85032,2023,Heated,EXPCON,7,0.6811298321813386,DD85032_2023_FA47A_55,3,1
DD85032,2023,Heated,EXPCON,7,0.6811298321813386,DD85032_2023_FA47A_55,4,1
DD85032,2023,Heated,EXPCON,7,0.6811298321813386,DD85032_2023_FA47A_55,5,1
DD85032,2023,Heated,EXPCON,7,0.6811298321813386,DD85032_2023_FA47A_55,6,1
DD85032,2023,Heated,EXPCON,7,0.6811298321813386,DD85032_2023_FA47A_55,7,1
DD85029,2023,Control,CONCON,7,0.6811298321813386,DD85029_2023_FA48A_51,1,1
DD85029,2023,Control,CONCON,7,0.6811298321813386,DD85029_2023_FA48A_51,2,1
DD85029,2023,Control,CONCON,7,0.6811298321813386,DD85029_2023_FA48A_51,3,1
DD85029,2023,Control,CONCON,7,0.6811298321813386,DD85029_2023_FA48A_51,4,1
